"","from","to","alpha","lo","hi","lo_numerical","hi_numerical","se","site","range_ci","size_from","size_to","species_from","species_to","size_int","georegion","sig","class_from","class_to","class_int","group"
"58","Eucalyptus diversicolor small","Eucalyptus diversicolor large",-0.234314201229734,-0.376984708828808,-0.0916436936306596,-0.237826980841942,-0.230801421617525,0.0727924128833188,"Warren",0.285341015198148,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","N_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"59","Trymalium odoratissimum small","Eucalyptus diversicolor large",-0.0452510071928384,-0.146572538279974,0.0560705238942973,-0.0478632578181462,-0.0426387565675307,0.0516956086368663,"Warren",0.202643062174271,"small","large","Trymalium odoratissimum","Eucalyptus diversicolor","small_large","N_WA",NA,"Subcanopy","Canopy","Subcanopy_Canopy","Canopy.large_Subcanopy.small"
"60","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.036160623532601,-0.210822534010367,0.283143781075569,0.0295023798684483,0.0428188671967537,0.126014130612164,"Warren",0.493966315085936,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"61","Trymalium odoratissimum small","Eucalyptus diversicolor small",-0.0908928247534787,-0.20447450237436,0.0226888528674029,-0.0937101957529613,-0.0880754537539961,0.0579509003822516,"Warren",0.227163355241763,"small","small","Trymalium odoratissimum","Eucalyptus diversicolor","small_small","N_WA",NA,"Subcanopy","Canopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"62","Trymalium odoratissimum small","Trymalium odoratissimum small",0.36815364238597,0.224960026190908,0.511347258581032,0.360794681886651,0.375512602885289,0.0730593099284245,"Warren",0.286387232390123,"small","small","Trymalium odoratissimum","Trymalium odoratissimum","small_small","N_WA",1,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.small_Subcanopy.small"
"63","Allocasuarina decussata large","Allocasuarina decussata large",0.222214713015274,-0.159953969081455,0.604383395112002,0.212480199661109,0.231949226369438,0.194987604420911,"Dawson",0.764337364193457,"large","large","Allocasuarina decussata","Allocasuarina decussata","large_large","S_WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.large_Subcanopy.large"
"64","Allocasuarina decussata small","Allocasuarina decussata large",0.0779923286352611,-0.151594265514224,0.307578922784746,0.0740929162338566,0.0818917410366656,0.117138169864566,"Dawson",0.45917318829897,"small","large","Allocasuarina decussata","Allocasuarina decussata","small_large","S_WA",NA,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.large_Subcanopy.small"
"65","Eucalyptus diversicolor large","Allocasuarina decussata large",-0.170343336591992,-0.450184954619295,0.109498281435312,-0.173417203871619,-0.167269469312364,0.142778959325099,"Dawson",0.559683236054607,"large","large","Eucalyptus diversicolor","Allocasuarina decussata","large_large","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.large_Subcanopy.large"
"66","Eucalyptus diversicolor small","Allocasuarina decussata large",-0.00725347857923248,-0.215138687987543,0.200631730829078,-0.00962881606539636,-0.0048781410930686,0.10606583133572,"Dawson",0.415770418816621,"small","large","Eucalyptus diversicolor","Allocasuarina decussata","small_large","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.large"
"67","Allocasuarina decussata small","Allocasuarina decussata small",0.221826427931,0.0374155175500637,0.406237338311935,0.215681514733073,0.227971341128927,0.0940889280800799,"Dawson",0.368821820761872,"small","small","Allocasuarina decussata","Allocasuarina decussata","small_small","S_WA",1,"Subcanopy","Subcanopy","Subcanopy_Subcanopy","Subcanopy.small_Subcanopy.small"
"68","Eucalyptus diversicolor large","Allocasuarina decussata small",-0.0125638902508215,-0.181548724909412,0.156420944407769,-0.0155901416279398,-0.00953763887370315,0.0862183366590007,"Dawson",0.337969669317181,"large","small","Eucalyptus diversicolor","Allocasuarina decussata","large_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.large_Subcanopy.small"
"69","Eucalyptus diversicolor small","Allocasuarina decussata small",-0.0275060965839556,-0.161507680877728,0.106495487709817,-0.0300370580785393,-0.024975135089372,0.068369411555906,"Dawson",0.268003168587545,"small","small","Eucalyptus diversicolor","Allocasuarina decussata","small_small","S_WA",NA,"Canopy","Subcanopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
"70","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.14862956470796,-0.447881926352095,0.150622796936176,-0.152620364370458,-0.144638765045461,0.152682581927321,"Dawson",0.598504723288271,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"71","Eucalyptus diversicolor small","Eucalyptus diversicolor large",0.0616739689585398,-0.11908837502801,0.242436312945089,0.0594166036324123,0.0639313342846673,0.0922273804071808,"Dawson",0.361524687973099,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"72","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.181481212610488,-0.00523967137101644,0.368202096591992,0.177041476142056,0.185920949078919,0.0952675076962306,"Dawson",0.373441767963009,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","S_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"73","Eucalyptus diversicolor large","Eucalyptus diversicolor large",-0.980626901899626,-1.95097694863669,-0.0102768551625603,-0.996380059832536,-0.964873743966717,0.495085651772718,"Carey",1.94070009347413,"large","large","Eucalyptus diversicolor","Eucalyptus diversicolor","large_large","N_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.large"
"74","Eucalyptus diversicolor small","Eucalyptus diversicolor large",0.135543235572672,-0.215364359519627,0.486450830664972,0.132006839098744,0.139079632046601,0.179037777153159,"Carey",0.701815190184599,"small","large","Eucalyptus diversicolor","Eucalyptus diversicolor","small_large","N_WA",NA,"Canopy","Canopy","Canopy_Canopy","Canopy.large_Canopy.small"
"75","Trymalium odoratissimum small","Eucalyptus diversicolor large",-0.023317272968105,-0.346739765395728,0.300105219459518,-0.0274401814694827,-0.0191943644667274,0.165014507908685,"Carey",0.646844984855246,"small","large","Trymalium odoratissimum","Eucalyptus diversicolor","small_large","N_WA",NA,"Subcanopy","Canopy","Subcanopy_Canopy","Canopy.large_Subcanopy.small"
"76","Eucalyptus diversicolor small","Eucalyptus diversicolor small",0.218306723238079,0.0194388161116277,0.41717463036453,0.213732010465125,0.222881436011032,0.101465082366358,"Carey",0.397735814252902,"small","small","Eucalyptus diversicolor","Eucalyptus diversicolor","small_small","N_WA",1,"Canopy","Canopy","Canopy_Canopy","Canopy.small_Canopy.small"
"77","Trymalium odoratissimum small","Eucalyptus diversicolor small",-0.0718960193915109,-0.199779678276689,0.0559876394936672,-0.0735862199444313,-0.0702058188385905,0.06524796368398,"Carey",0.255767317770356,"small","small","Trymalium odoratissimum","Eucalyptus diversicolor","small_small","N_WA",NA,"Subcanopy","Canopy","Subcanopy_Canopy","Canopy.small_Subcanopy.small"
